Year,Month,Day,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
2015,1,1,Weekend,1800,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,BETHEL,39.21258773,-86.46348219
2015,1,7,Weekend,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,CURRY & GIFFORD,39.15648401,-86.58270442
2015,1,7,Weekend,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,3RD & GRANT,39.16464,-86.529728
2015,1,6,Weekend,2000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,RUSSELL & TIMBERCREST,39.193408,-86.48584
2015,1,7,Weekend,1700,2-Car,No injury/unknown,IMPROPER TURNING,S COLLEGE,39.16115717,-86.53485253
2015,1,1,Weekend,100,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,7TH & N ROGERS,39.168704,-86.538576
2015,1,1,Weekend,1000,2-Car,No injury/unknown,IMPROPER LANE USAGE,7TH & WALNUT,39.16864,-86.533568
2015,1,1,Weekday,2000,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,S LIBERTY & SR45W,39.14547579,-86.57703014
2015,1,1,Weekend,1800,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S CLARIZZ,39.15263367,-86.49272918
2015,1,2,Weekday,200,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E SAMPLE & N OLD STATE 37,39.25864,-86.5012
2015,1,1,Weekend,1200,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,WEST 11TH,39.17344,-86.52237094
2015,1,2,Weekday,600,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,BLOOMFIELD & SR37,39.148144,-86.572992
2015,1,2,Weekday,600,2-Car,No injury/unknown,ROADWAY SURFACE CONDITION,WEST 2ND,39.16025543,-86.54006195
2015,1,2,Weekday,700,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,TYLER LANE,39.1316,-86.576944
2015,1,2,Weekday,1400,3+ Cars,Incapacitating,FOLLOWING TOO CLOSELY,BLOOMFIELD & RANSOM,39.15944,-86.555296
2015,1,2,Weekday,1500,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,S WEIMER & W TAPP,39.136512,-86.562016
2015,1,3,Weekday,300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,CHANDLER & RENEE,39.23488,-86.616736
2015,1,3,Weekday,700,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E 10TH & N WASHINGTON,39.171728,-86.5324
2015,1,1,Weekend,1100,1-Car,Non-incapacitating,ANIMAL/OBJECT IN ROADWAY,DELAP,39.250778,-86.615867
2015,1,2,Weekday,800,1-Car,No injury/unknown,OVERCORRECTING/OVERSTEERING,SHUFFLE CREEK & SR45E,39.22993318,-86.4157437
2015,1,3,Weekday,900,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,SR37 & SR45W,39.187344,-86.5552
2015,1,3,Weekday,1100,Pedestrian,Non-incapacitating,PEDESTRIAN ACTION,6TH & INDIANA,39.167744,-86.526928
2015,1,3,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S WALNUT,39.13432546,-86.52733091
2015,1,3,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,ROGERS & W 2ND,39.16152,-86.538592
2015,1,3,Weekday,1800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,RAMP 15 SB SR 37 TO SR 45 WEST & SR45W,0,0
2015,1,3,Weekday,1700,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,3RD & SR37,39.164752,-86.573104
2015,1,3,Weekday,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,9TH & COLLEGE,39.170544,-86.534768
2015,1,3,Weekday,2300,Pedestrian,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,THIRD & WOODLAWN,39.16426449,-86.5226336
2015,1,4,Weekday,800,2-Car,No injury/unknown,LEFT OF CENTER,S CURRY,39.142048,-86.582592
2015,1,3,Weekday,1200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S ROGERS & W 4TH,39.165696,-86.538592
2015,1,4,Weekday,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,PARK & WILSON,39.151552,-86.523664
2015,1,4,Weekday,1100,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,COLLEGE & KIRKWOOD,39.16718927,-86.53479128
2015,1,4,Weekday,1200,2-Car,Non-incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S HIGHLAND & WINSLOW FARM,39.136048,-86.518496
2015,1,3,Weekday,1800,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,SR37S & VICTOR,39.105552,-86.551104
2015,1,4,Weekday,2000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,10TH & WOODLAWN,39.17108301,-86.52351178
2015,1,5,Weekday,700,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,3RD & WALNUT,39.16464,-86.5336
2015,1,3,Weekday,1100,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,3RD,39.16424,-86.48599111
2015,1,5,Weekday,700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S WALNUT,39.142555,-86.531238
2015,1,5,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,3RD & LIBERTY,39.16461021,-86.57913006
2015,1,5,Weekday,900,1-Car,No injury/unknown,UNSAFE BACKING,2418 E GOLDIN & E GOLDIN,39.128067,-86.50872634
